transaction_date,settlements,settlement_amount
2026-01-02,2,3047.72
2026-01-05,2,1906.26
2026-01-06,2,1659.45
2026-01-07,1,1113.66
2026-01-08,1,1517.55
2026-01-09,1,1333.41
2026-01-12,3,4551.28
2026-01-13,1,441.71
2026-01-14,1,1134.79
2026-01-15,1,1145.42
2026-01-16,1,1500.90
2026-01-20,4,5098.28
2026-01-21,1,798.29
2026-01-22,1,1465.01
2026-01-23,1,1359.37
2026-01-26,2,2873.48
2026-01-27,2,1378.08
2026-01-28,1,528.23
2026-01-29,1,1276.60
2026-01-30,1,1285.15
2026-02-02,3,4125.01
2026-02-03,1,465.62
2026-02-04,1,1375.85
2026-02-05,1,1680.39
2026-02-06,1,1585.33
2026-02-09,3,4467.33
2026-02-10,1,580.62
2026-02-11,1,1244.69
2026-02-12,1,1532.38
2026-02-13,1,1505.08
2026-02-17,4,4275.27
2026-02-18,1,648.90
2026-02-19,1,1155.89
2026-02-20,1,1185.73
2026-02-23,3,3219.82
2026-02-24,1,371.72
2026-02-25,1,647.80
2026-02-26,1,970.54
2026-02-27,1,1022.91
2026-03-02,3,3468.04
2026-03-03,1,451.39
2026-03-04,1,1404.09
2026-03-05,1,1764.01
2026-03-06,1,1531.51
2026-03-09,3,4922.39
2026-03-10,1,681.97
2026-03-11,1,1837.30
2026-03-12,1,1819.28
2026-03-13,1,1279.66
2026-03-16,3,3798.35
2026-03-17,1,379.95
2026-03-18,1,1318.64
2026-03-19,1,1289.02
2026-03-20,1,1656.48
2026-03-23,3,4197.25
2026-03-24,1,547.03
2026-03-25,1,1285.86
2026-03-26,1,1299.57
2026-03-27,1,1380.69
2026-03-30,3,3747.80
2026-03-31,1,471.04
2026-04-01,1,1160.37
2026-04-02,1,1269.66
2026-04-03,1,1387.40
2026-04-06,3,3110.92
2026-04-07,1,418.38
2026-04-08,1,1170.92
2026-04-09,1,1190.55
2026-04-10,1,1204.22
2026-04-13,3,3619.83
2026-04-14,1,403.93
2026-04-15,1,1202.18
2026-04-16,1,1188.83
2026-04-17,1,1323.48
2026-04-20,3,3878.26
2026-04-21,1,389.92
2026-04-22,1,1290.18
2026-04-23,1,1451.15
2026-04-24,1,1433.06
2026-04-27,3,3921.09
2026-04-28,1,609.66
2026-04-29,1,1224.45
2026-04-30,1,1514.47
