processing_day,paypal_net,bank_received,variance
2026-01-01,626.71,NULL,NULL
2026-01-02,1279.55,3047.72,-1768.17
2026-01-03,1188.41,NULL,NULL
2026-01-04,471.04,NULL,NULL
2026-01-05,1148.49,1906.26,-757.77
2026-01-06,1541.46,1659.45,-117.99
2026-01-07,1333.41,1113.66,219.75
2026-01-08,1416.92,1517.55,-100.63
2026-01-09,1754.55,1333.41,421.14
2026-01-10,1408.27,NULL,NULL
2026-01-11,441.71,NULL,NULL
2026-01-12,1163.29,4551.28,-3387.99
2026-01-13,1145.42,441.71,703.71
2026-01-14,1500.90,1134.79,366.11
2026-01-15,1305.32,1145.42,159.90
2026-01-16,1602.95,1500.90,102.05
2026-01-17,1284.18,NULL,NULL
2026-01-18,637.32,NULL,NULL
2026-01-19,835.74,NULL,NULL
2026-01-20,1465.78,5098.28,-3632.50
2026-01-21,1360.46,798.29,562.17
2026-01-22,1289.31,1465.01,-175.70
2026-01-23,1584.17,1359.37,224.80
2026-01-24,1164.05,NULL,NULL
2026-01-25,228.26,NULL,NULL
2026-01-26,542.48,2873.48,-2331.00
2026-01-27,1276.60,1378.08,-101.48
2026-01-28,1270.15,528.23,741.92
2026-01-29,1699.75,1276.60,423.15
2026-01-30,1350.78,1285.15,65.63
2026-01-31,1074.48,NULL,NULL
2026-02-01,465.62,NULL,NULL
2026-02-02,1375.85,4125.01,-2749.16
2026-02-03,1728.21,465.62,1262.59
2026-02-04,1585.33,1375.85,209.48
2026-02-05,1620.08,1680.39,-60.31
2026-02-06,1517.57,1585.33,-67.76
2026-02-07,1329.68,NULL,NULL
2026-02-08,580.62,NULL,NULL
2026-02-09,1270.53,4467.33,-3196.80
2026-02-10,1532.38,580.62,951.76
2026-02-11,1505.08,1244.69,260.39
2026-02-12,1422.51,1532.38,-109.87
2026-02-13,1318.35,1505.08,-186.73
2026-02-14,1079.83,NULL,NULL
2026-02-15,468.81,NULL,NULL
2026-02-16,689.11,NULL,NULL
2026-02-17,1155.89,4275.27,-3119.38
2026-02-18,1185.73,648.90,536.83
2026-02-19,1407.03,1155.89,251.14
2026-02-20,974.87,1185.73,-210.86
2026-02-21,837.92,NULL,NULL
2026-02-22,371.72,NULL,NULL
2026-02-23,647.80,3219.82,-2572.02
2026-02-24,970.54,371.72,598.82
2026-02-25,1022.91,647.80,375.11
2026-02-26,1232.10,970.54,261.56
2026-02-27,1166.08,1022.91,143.17
2026-02-28,1039.86,NULL,NULL
2026-03-01,451.39,NULL,NULL
2026-03-02,1404.09,3468.04,-2063.95
2026-03-03,1776.61,451.39,1325.22
2026-03-04,1531.51,1404.09,127.42
2026-03-05,1356.20,1764.01,-407.81
2026-03-06,1864.31,1531.51,332.80
2026-03-07,1701.88,NULL,NULL
2026-03-08,681.97,NULL,NULL
2026-03-09,1837.30,4922.39,-3085.09
2026-03-10,1831.88,681.97,1149.91
2026-03-11,1333.16,1837.30,-504.14
2026-03-12,1204.22,1819.28,-615.06
2026-03-13,1474.66,1279.66,195.00
2026-03-14,1119.47,NULL,NULL
2026-03-15,379.95,NULL,NULL
2026-03-16,1318.64,3798.35,-2479.71
2026-03-17,1289.02,379.95,909.07
2026-03-18,1656.48,1318.64,337.84
2026-03-19,1595.01,1289.02,305.99
2026-03-20,1593.85,1656.48,-62.63
2026-03-21,1008.39,NULL,NULL
2026-03-22,547.03,NULL,NULL
2026-03-23,1313.80,4197.25,-2883.45
2026-03-24,1299.57,547.03,752.54
2026-03-25,1380.69,1285.86,94.83
2026-03-26,1285.34,1299.57,-14.23
2026-03-27,1260.27,1380.69,-120.42
2026-03-28,1172.19,NULL,NULL
2026-03-29,485.27,NULL,NULL
2026-03-30,1160.37,3747.80,-2587.43
2026-03-31,1269.66,471.04,798.62
