processing_day,net_amount,transaction_date
2026-01-01,626.71,NULL
2026-01-03,1188.41,NULL
2026-01-04,471.04,NULL
2026-01-10,1408.27,NULL
2026-01-11,441.71,NULL
2026-01-17,1284.18,NULL
2026-01-18,637.32,NULL
2026-01-19,835.74,NULL
2026-01-24,1164.05,NULL
2026-01-25,228.26,NULL
2026-01-31,1074.48,NULL
2026-02-01,465.62,NULL
2026-02-07,1329.68,NULL
2026-02-08,580.62,NULL
2026-02-14,1079.83,NULL
2026-02-15,468.81,NULL
2026-02-16,689.11,NULL
2026-02-21,837.92,NULL
2026-02-22,371.72,NULL
2026-02-28,1039.86,NULL
2026-03-01,451.39,NULL
2026-03-07,1701.88,NULL
2026-03-08,681.97,NULL
2026-03-14,1119.47,NULL
2026-03-15,379.95,NULL
2026-03-21,1008.39,NULL
2026-03-22,547.03,NULL
2026-03-28,1172.19,NULL
2026-03-29,485.27,NULL
