transaction_date,description,credit_amount
2026-01-20,"PAYPAL TRANSFER 1047667389100",1885.69
2026-03-09,"PAYPAL TRANSFER 1048758947165",1864.31
2026-03-11,"PAYPAL TRANSFER 1048823083869",1837.30
2026-03-12,"PAYPAL TRANSFER 1048844803331",1819.28
2026-03-05,"PAYPAL TRANSFER 1048689321602",1764.01
2026-01-12,"PAYPAL TRANSFER 1047515612336",1754.55
2026-03-09,"PAYPAL TRANSFER 1048780427192",1701.88
2026-02-02,"PAYPAL TRANSFER 1047943791042",1699.75
2026-02-05,"PAYPAL TRANSFER 1048060940283",1680.39
2026-03-20,"PAYPAL TRANSFER 1049021743424",1656.48
2026-02-09,"PAYPAL TRANSFER 1048106025501",1620.08
2026-01-02,"PAYPAL TRANSFER 1047291018879",1618.94
2026-03-23,"PAYPAL TRANSFER 1049044722776",1595.01
2026-03-23,"PAYPAL TRANSFER 1049068003351",1593.85
2026-02-06,"PAYPAL TRANSFER 1048082999717",1585.33
2026-01-26,"PAYPAL TRANSFER 1047816412339",1584.17
2026-04-20,"PAYPAL TRANSFER 1049690401806",1575.65
2026-02-12,"PAYPAL TRANSFER 1048216628025",1532.38
2026-03-06,"PAYPAL TRANSFER 1048712489064",1531.51
2026-02-09,"PAYPAL TRANSFER 1048129952774",1517.57
