payment_day,average_ticket
2026-01-01,16.90
2026-01-02,17.47
2026-01-03,16.04
2026-01-04,15.51
2026-01-05,16.78
2026-01-06,17.24
2026-01-07,16.13
2026-01-08,16.21
2026-01-09,17.24
2026-01-10,15.45
2026-01-11,16.03
2026-01-12,16.99
2026-01-13,16.97
2026-01-14,17.92
2026-01-15,17.81
2026-01-16,17.37
2026-01-17,17.31
2026-01-18,17.63
2026-01-19,16.30
2026-01-20,17.91
2026-01-21,17.23
2026-01-22,17.60
2026-01-23,17.53
2026-01-24,16.33
2026-01-25,17.14
2026-01-26,17.81
2026-01-27,19.14
2026-01-28,18.04
2026-01-29,18.40
2026-01-30,17.32
2026-01-31,17.12
2026-02-01,16.33
2026-02-02,18.29
2026-02-03,18.33
2026-02-04,18.30
2026-02-05,19.32
2026-02-06,17.53
2026-02-07,15.91
2026-02-08,17.94
2026-02-09,17.80
2026-02-10,17.89
2026-02-11,18.81
2026-02-12,17.59
2026-02-13,17.99
2026-02-14,17.46
2026-02-15,14.98
2026-02-16,16.86
2026-02-17,17.61
2026-02-18,18.58
2026-02-19,16.82
2026-02-20,17.37
2026-02-21,18.33
2026-02-22,19.50
2026-02-23,18.89
2026-02-24,17.59
2026-02-25,17.62
2026-02-26,17.50
2026-02-27,18.01
2026-02-28,16.34
2026-03-01,16.38
2026-03-02,18.21
2026-03-03,18.84
2026-03-04,17.31
2026-03-05,17.81
2026-03-06,20.15
2026-03-07,21.00
2026-03-08,20.43
2026-03-09,21.39
2026-03-10,20.87
2026-03-11,18.42
2026-03-12,18.07
2026-03-13,17.61
2026-03-14,17.82
2026-03-15,16.00
2026-03-16,18.22
2026-03-17,17.37
2026-03-18,18.13
2026-03-19,18.41
2026-03-20,17.63
2026-03-21,17.38
2026-03-22,17.42
2026-03-23,18.16
2026-03-24,18.20
2026-03-25,18.35
2026-03-26,18.24
2026-03-27,17.21
2026-03-28,15.83
2026-03-29,17.59
2026-03-30,17.18
2026-03-31,17.12
