processing_date,transactions,gross_amount,processor_fees,net_amount
2026-01-01,39,659.11,-32.40,626.71
2026-01-02,77,1344.92,-65.37,1279.55
2026-01-03,78,1251.06,-62.65,1188.41
2026-01-04,32,496.20,-25.16,471.04
2026-01-05,72,1208.03,-59.54,1148.49
2026-01-06,94,1620.57,-79.11,1541.46
2026-01-07,87,1403.56,-70.15,1333.41
2026-01-08,92,1491.32,-74.40,1416.92
2026-01-09,107,1844.60,-90.05,1754.55
2026-01-10,96,1483.58,-75.31,1408.27
2026-01-11,29,465.00,-23.29,441.71
2026-01-12,72,1223.33,-60.04,1163.29
2026-01-13,71,1204.56,-59.14,1145.42
2026-01-14,88,1576.59,-75.69,1500.90
2026-01-15,77,1371.54,-66.22,1305.32
2026-01-16,97,1685.00,-82.05,1602.95
2026-01-17,78,1350.00,-65.82,1284.18
2026-01-18,38,670.00,-32.68,637.32
2026-01-19,54,880.00,-44.26,835.74
2026-01-20,86,1540.00,-74.22,1465.78
2026-01-21,83,1430.01,-69.55,1360.46
2026-01-22,77,1355.00,-65.69,1289.31
2026-01-23,95,1665.00,-80.83,1584.17
2026-01-24,75,1225.00,-60.95,1164.05
2026-01-25,14,240.00,-11.74,228.26
2026-01-26,32,570.00,-27.52,542.48
2026-01-27,70,1340.00,-63.40,1276.60
2026-01-28,74,1335.00,-64.85,1270.15
2026-01-29,97,1785.00,-85.25,1699.75
2026-01-30,82,1420.00,-69.22,1350.78
2026-01-31,66,1130.00,-55.52,1074.48
2026-02-01,30,490.00,-24.38,465.62
2026-02-02,79,1445.00,-69.15,1375.85
2026-02-03,99,1815.00,-86.79,1728.21
2026-02-04,91,1665.00,-79.67,1585.33
2026-02-05,88,1700.00,-79.92,1620.08
2026-02-06,91,1595.00,-77.43,1517.57
2026-02-07,88,1400.00,-70.32,1329.68
2026-02-08,34,610.00,-29.38,580.62
2026-02-09,75,1335.00,-64.47,1270.53
2026-02-10,90,1610.00,-77.62,1532.38
2026-02-11,84,1580.00,-74.92,1505.08
2026-02-12,85,1495.00,-72.49,1422.51
2026-02-13,77,1385.00,-66.65,1318.35
2026-02-14,65,1135.00,-55.17,1079.83
2026-02-15,33,494.19,-25.38,468.81
2026-02-16,43,725.00,-35.89,689.11
2026-02-17,69,1215.00,-59.11,1155.89
2026-02-18,67,1245.00,-59.27,1185.73
2026-02-19,88,1479.91,-72.88,1407.03
2026-02-20,59,1025.00,-50.13,974.87
2026-02-21,48,880.00,-42.08,837.92
2026-02-22,20,390.00,-18.28,371.72
2026-02-23,36,680.00,-32.20,647.80
2026-02-24,58,1020.00,-49.46,970.54
2026-02-25,61,1075.00,-52.09,1022.91
2026-02-26,74,1295.00,-62.90,1232.10
2026-02-27,68,1225.00,-58.92,1166.08
2026-02-28,67,1095.00,-55.14,1039.86
2026-03-01,29,475.00,-23.61,451.39
2026-03-02,81,1475.00,-70.91,1404.09
2026-03-03,99,1865.00,-88.39,1776.61
2026-03-04,93,1610.00,-78.49,1531.51
2026-03-05,80,1425.00,-68.80,1356.20
2026-03-06,97,1955.00,-90.69,1864.31
2026-03-07,85,1785.00,-83.12,1701.88
2026-03-08,35,715.00,-33.03,681.97
2026-03-09,90,1925.00,-87.70,1837.30
2026-03-10,92,1920.00,-88.12,1831.88
2026-03-11,76,1400.00,-66.84,1333.16
2026-03-12,70,1265.00,-60.78,1204.22
2026-03-13,88,1550.00,-75.34,1474.66
2026-03-14,66,1176.25,-56.78,1119.47
2026-03-15,25,400.00,-20.05,379.95
2026-03-16,76,1385.00,-66.36,1318.64
2026-03-17,78,1355.00,-65.98,1289.02
2026-03-18,96,1740.00,-83.52,1656.48
2026-03-19,91,1675.00,-79.99,1595.01
2026-03-20,95,1675.00,-81.15,1593.85
2026-03-21,61,1060.00,-51.61,1008.39
2026-03-22,33,575.00,-27.97,547.03
2026-03-23,76,1380.00,-66.20,1313.80
2026-03-24,75,1365.00,-65.43,1299.57
2026-03-25,79,1450.00,-69.31,1380.69
2026-03-26,74,1350.00,-64.66,1285.34
2026-03-27,77,1325.00,-64.73,1260.27
2026-03-28,78,1235.00,-62.81,1172.19
2026-03-29,29,510.00,-24.73,485.27
2026-03-30,71,1220.00,-59.63,1160.37
2026-03-31,78,1335.00,-65.34,1269.66
